titolo,descrizione,immago,clip,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno,titolo_pm,primamappa
"Sicilia - Ponti e viadotti Agosto 2018 - Tableau public
","Mappa intereattiva dei ponti e viadotti siciliani, utilizzando Tableau Public usando i dati di OpenStreetMap (utilizzando overpass-turbo.eu)","<img src=""legend/clip_index/ponti_tableau.jpg"" class=""clip_tooltips"" />",,Infrastrutture;Ponti;Viadotti;Crolli;Monitoraggio Civico;Tableau;,Mobilità,Sicilia,http://siciliahub.github.io/palermohub/ponti_sicilia_centroidi.html,OpenStreetMap,,@gbvitrano;@totofiandaca,2018-08-27,agosto - 2018,2018,Sicilia - Ponti e viadotti Agosto 2018 - Tableau public,http://u.osmfr.org/m/242901/
"Sicilia - Ponti e viadotti Agosto 2018 
",Localizzati 8.703 tratte stradali su ponte o viadotti della Sicilia usando i dati di OpenStreetMap (utilizzando overpass-turbo.eu),"<img src=""legend/clip_index/ponti_viadotti_sicilia_01.jpg"" class=""clip_tooltips"" />",,Infrastrutture;Ponti;Viadotti;Crolli;Monitoraggio Civico;Tableau;,Mobilità,Sicilia,http://siciliahub.github.io/palermohub/ponti_viadotti_sicilia.html,OpenStreetMap,,@gbvitrano,2018-08-24,agosto - 2018,2018,Sicilia - Ponti e viadotti Agosto 2018 (8.703 tratte stradali su ponte o viadotti),"http://u.osmfr.org/m/242667/
"
Sicurezza ponti e cavalcavia - Palermo - Agosto 2018,"Localizzazione dei ponti di Palermo usando i dati di OpenStreetMap (utilizzando overpass-turbo.eu) e mettendoli ove possibile in relazione con i dati della suddetta relazione del comunicato stampa del Comune di Palermo. Purtroppo al momento, in attesa dei dati del catasto ufficiale, è poco più di un elenco.","<img src=""legend/clip_index/sicurezzapontipalermo.jpg"" class=""clip_tooltips"" />",,Infrastrutture;Ponti;Viadotti;Crolli;Monitoraggio;Tableau;,Mobilità,Palermo,http://siciliahub.github.io/palermohub/sicurezzapontipalermo.html,Comune di Palermo;OpenStreetMap,,@gbvitrano,2018-08-24,agosto - 2018,2018,Sicurezza ponti e cavalcavia - Palermo - Agosto 2018,http://u.osmfr.org/m/242667/
Italia – Ponti e viadotti - Agosto 2018,"La mappa è stata realizzata dopo l’ennesimo crollo di un ponte, (Genova, crolla il Ponte Morandi) con i dati estratti da OSM utilizzando overpass-turbo.eu, strumento utilissimo sia per semplicità d’utilizzo che per la possibilità di effettuare estrazioni mirate, ovvero ci permette di filtrare il tipo di dati che ci servono in una determinata area geografica. Si potrebbe utilizzare la mappa come base cartografica per un censimento Nazionale di ponti e viadotti, segnalando con foto o video lo stato di fatto o apparente di ponti e viadotti di strade locali e nazionali del nostro Paese.","<img src=""legend/clip_index/italia_ponti_viadotti.jpg"" class=""clip_tooltips"" />",,Infrastrutture;Ponti;Viadotti;Crolli;Monitoraggio Civico;Tableau;,Mobilità,Italia,http://siciliahub.github.io/palermohub/sicilia_ponti_viadotti.html,OpenStreetMap,,@gbvitrano,2018-08-15,agosto - 2018,2018,Italia – Ponti e viadotti,http://bit.ly/pontieviadotti
Dove sono gli alberi monumentali d'Italia?,"La scoperta di un dataset interessante, indispensabile per fare conoscere un patrimonio di grande valore, probabilmente poco noto.","<img src=""legend/clip_index/alberi_monumentali.jpg"" class=""clip_tooltips"" />",,Alberi;Monumenti;Politiche agrigole;Ministero;Natura;Ecologia;,Ambiente,Italia,http://siciliahub.github.io/palermohub/alberi_monumentali.html,Ministero delle politiche agricole alimentari e forestali,,@aborruso,2018-05-28,maggio - 2018,2018,Dove sono gli alberi monumentali d’Italia? - L’elaborazione di un dataset e una richiesta al ministero,"https://medium.com/tantotanto/dove-sono-gli-alberi-monumentali-ditalia-ffd7d0d6d860
"
Mappa Concessioni Demaniali Marittime,Il dataset continene i dati delle concessioni marittime gestiti dal SID il portale del mare -portale integrato per la pianificazione del demanio e dello spazio marittimo. Le informazioni contengono anche la geolocalizzazione. I dati si riferiscono ad Aprile 2018.,"<img src=""legend/clip_index/Concessioni_Demaniali_Marittime.jpg"" class=""clip_tooltips"" />",,Concessioni Demaniali Marittime,Ambiente,Italia,http://siciliahub.github.io/palermohub/concessioni_demaniali_marittime.html,Ministero delle Infrastrutture e dei Trasporti;dati.mit.gov.it,,@gbvitrano,2018-04-29,aprile - 2018,2018,Mappa Concessioni Demaniali Marittime,http://u.osmfr.org/m/216683/
Mappa dei rischi dei comuni Italiani,Esplora gli indicatori della Mappa dei rischi dei comuni Italiani - Dataset rilsciato dall'ISTAT in 2017,"<img src=""legend/clip_index/Guenter_ixmaps_istat.jpg"" class=""clip_tooltips"" />",,Rischi dei comuni Italiani,Ambiente,Italia,http://exp.ixmaps.com.s3-website-eu-west-1.amazonaws.com/ixmaps/app/ISTAT/index_rischi_explorer_cratere.html,ISTAT,,@grichter,2018-04-19,aprile - 2018,2018,,
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2017 - Umap,Incidenti rilevati dalla Polizia Municipale di Palermo - Umap (tot. incidenti 3468),"<img src=""legend/clip_index/sinistri_2017.jpg"" class=""clip_tooltips"" />",,Palermo;Polizia Municipale;Incidenti;Sinistri;,Mobilità,Palermo,http://siciliahub.github.io/palermohub/sinistri_2017.html,Comune di Palermo,,@gbvitrano,2018-03-20,marzo - 2018,2018,Palermo Sinistri stradali 2017,http://u.osmfr.org/m/212004/
Elezioni Politiche 2018,Il voto elettorale come non l'avete mai visto,"<img src=""legend/clip_index/elezioni_2018.jpg"" class=""clip_tooltips"" />",,Elezioni Politiche,Politica,Italia,http://exp.ixmaps.com.s3-website-eu-west-1.amazonaws.com/ixmaps/app/Elezioni%202018/index_2018_maps.html,onData.it,,@grichter;@aborruso,2018-03-15,marzo - 2018,2018,,
"Palermo AirBnB - Opendata Gennaio 2018
","Palermo AirBnB - Opendata Gennaio 2018 - Nella mappa sono riportati gli alloggi turistici di Palermo (4.319) affiliati della piattaforma home sharing Inside Airbnb
","<img src=""legend/clip_index/Palermo_AirBnB.jpg"" class=""clip_tooltips"" />",,Palermo;Turismo;AirBnB;Alloggi;Camere;Camere in affitto;Vacanze; Bed & Breakfasts;Ville;Appartamenti;Resort;Ostelli;Hotel;B&B:Prezzi;,Cultura;Turismo,Palermo,http://siciliahub.github.io/palermohub/palermo_airbnb.html,Scraping di Murray Cox - @murraycoxphoto,,@gbvitrano,2018-01-25,gennaio - 2018,2018,,
"Geocodifica il tuo indirizzo
","Usa questa utility  per trovare le coordinate geografiche di un punto  di una  via, una località, un comune o una regione.
Per otterere le coordinate latitudine e longitudine puoi:
Scrivere per esteso il nome della via o della 
località (semplificato dal completamento automatico di Google per le 
località Italiane) che ti interessa e cliccare su invio.Trascinare il markernella mappa per ottenere le coordinate e l'indirizzo.","<img src=""legend/clip_index/geolocalizza.jpg"" class=""clip_tooltips"" />",,Geolocalizzati;Indirizzo;Coordinate;Latitudine;Longitudine;,,Italia,http://siciliahub.github.io/palermohub/geolocalizza.html,,,@gbvitrano,2018-01-12,gennaio - 2018,2018,Geocodifica il tuo indirizzo,https://siciliahub.github.io/mappe/geolocation/geolocation.html
Italia - Mappa news Incendi registrati nel 2018,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2018. ,"<img src=""legend/clip_index/news_incendi_2018.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/news_incendi_2018.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2018-01-01,gennaio - 2018,2018,Italia – Mappa news Incendi registrati nel 2018,http://u.osmfr.org/m/188138/
ATM Messina - GTFS,Mappa Trasporti pubblici ATM Messina - GTFS - Dicembre 2017,"<img src=""legend/clip_index/atm_me.jpg"" class=""clip_tooltips""  />",,Messina;ATM;GTFS;Bus;Tram;Fermate,Mobilità,Messina,http://siciliahub.github.io/palermohub/atm_me.html,Comune di Messina;UNIME,,@aborruso;@piersoft;@gbvitrano,2017-12-24,dicembre - 2017,2017,Mappa Trasporti pubblici ATM Messina - GTFS - Dicembre 2017,http://u.osmfr.org/m/187678/
P.A.I. Geomorfologia e Idraulica di Palermo – Qgis Cloud,P.A.I. Geomorfologia e Idraulica di Palermo – Qgis Cloud,"<img src=""legend/clip_index/pai_qgis_cloud.jpg"" class=""clip_tooltips""  />",,Ambiente;Pericolosità Geomofologicia;Rischio Geomofologico;Dissesti;Rischio Idraulico;Pericolosità Idraulica;Palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/pai_qgis_cloud.html,Regione Sicilia,,@aborruso;Tonino Corso;@gbvitrano ,2017-12-22,dicembre - 2017,2017,P.A.I. Geomorfologia e Idraulica di Palermo – Qgis Cloud,https://goo.gl/GAmnKS
Orto Botanico di Palermo,Aree interne all'Orto Botanico di Palermo,"<img src=""legend/clip_index/orto_botanico.jpg"" class=""clip_tooltips""  />",,Orto Botanico;Giardini;Piante;Alberi;Fiori,Natura;Ambiente;Cartografia,Palermo,http://siciliahub.github.io/palermohub/orto_botanico.html,Università di Palermo,,@cirospat;Enrico Russo,2017-12-13,dicembre - 2017,2017,Aree interne all'Orto Botanico di Palermo,http://umap.openstreetmap.fr/it/map/orto-botanico-di-palermo_182521
Palermo 3D Maps WRLD,"WRLD è una piattaforma dinamica di mappatura 3D per edifici intelligenti, città, giochi, e esperienze virtuali. Fornisce un ambiente 3D completamente testurizzato che utilizza un sistema di coordinate globali in modo reale, quindi è pronto per essere utilizzato immediatamente.","<img src=""legend/clip_index/3d_wrld.jpg"" class=""clip_tooltips""  />",,3D,Modellazione 3D;Cartografia,Palermo,http://siciliahub.github.io/palermohub/index_3d.html,Wrld3d,,@gbvitrano,2017-12-08,dicembre - 2017,2017,,
Mappa del Rischio idrogeologico,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.","<img src=""legend/clip_index/pericolosita_idro_geo.jpg"" class=""clip_tooltips""  />",,Ambiente;Pericolosità Geomofologicia;Rischio Geomofologico;Dissesti;Rischio Idraulico;Pericolosità Idraulica;Palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/rischio_idrogeologico.html#14/38.1185/13.3595,Regione Sicilia,,@aborruso;Tonino Corso;@gbvitrano ,2017-12-05,dicembre - 2017,2017,,
Mappa della Pericolosità idrogeologica,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.","<img src=""legend/clip_index/rischio_idrogeo.jpg"" class=""clip_tooltips""  />",,Ambiente;Pericolosità Geomofologicia;Rischio Geomofologico;Dissesti;Rischio Idraulico;Pericolosità Idraulica;Palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/pericolosit%C3%A0_idrogeologica.html#14/38.1185/13.3595,Regione Sicilia,,@aborruso;Tonino Corso;@gbvitrano ,2017-12-04,dicembre - 2017,2017,,
Mappa delle Pericolosità e Rischio Idraulico per fenomeni di esondazione,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.","<img src=""legend/clip_index/pericolo_rischio_idra.jpg"" class=""clip_tooltips""  />",,Ambiente;Pericolosità Geomofologicia;Rischio Geomofologico;Dissesti;Rischio Idraulico;Pericolosità Idraulica;Palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/idraulica.html#14/38.1185/13.3595,Regione Sicilia,,@aborruso;Tonino Corso;@gbvitrano ,2017-12-03,dicembre - 2017,2017,,
Mappa dei Dissesti,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.","<img src=""legend/clip_index/dissesti.jpg"" class=""clip_tooltips""  />",,Ambiente;Pericolosità Geomofologica;Rischio Geomofologico;Dissesti;Rischio Idraulico;Pericolosità Idraulica;Palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/dissesti.html#14/38.1185/13.3595,Regione Sicilia,,@aborruso;Tonino Corso;@gbvitrano ,2017-12-02,dicembre - 2017,2017,,
Mappa delle Pericolosità e del Rischio Geomorfologica,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.","<img src=""legend/clip_index/index_pai.jpg"" class=""clip_tooltips""  />",,Ambiente;Pericolosità Geomofologicia;Rischio Geomofologico;Dissesti;Rischio Idraulico;Pericolosità Idraulica;Palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/index_pai.html#14/38.1185/13.3595,Regione Sicilia,,@aborruso;Tonino Corso;@gbvitrano ,2017-12-01,dicembre - 2017,2017,,
Cartografia e Ortofoto di base,Carta Tecnica Regionale 10K (C.T.R.)  e Ortofoto ATA 2012 2013 Palermo 14 cm,"<img src=""legend/clip_index/cartografia.jpg"" class=""clip_tooltips""  />",,CTR;Palermo;Ortofoto;Cartografia,Cartografia,Palermo,http://siciliahub.github.io/palermohub/cartografia.html#14/38.1185/13.3595,Regione Sicilia,,@aborruso;@totofiandaca;@gbvitrano,2017-12-01,dicembre - 2017,2017,Ortofoto 14 centimetri,http://siciliahub.github.io/mappe/14centimetri/#7/37.514/14.040
Spazi Palermo capitale italiana Cultura 2018,Spazi Culturali comunali di Palermo per capitale italiana Cultura 2018,"<img src=""legend/clip_index/cultura_2018.jpg"" class=""clip_tooltips""  />",,Cultura,Cultura,Palermo,http://siciliahub.github.io/palermohub/pa_capitale_cultura_2018.html,Comune di Palermo,,@cirospat,2017-10-16,ottobre - 2017,2017,Spazi Culturali comunali di Palermo per capitale italiana Cultura 2018,http://umap.openstreetmap.fr/it/map/spazi-Culturali-comunali-di-palermo-per-capitale-i_120532#14/38.1191/13.3709
Italia - Mappa Fire News 2012 - 2017 ,La mappa delle notizie relative agli Incendi avvenuti in Italia dal 2012 al 2017.,"<img src=""legend/clip_index/news_incendi_2012_17.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/news_incendi_2012_17.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2017-09-20,settembre - 2017,2017,Italia - Mappa Fire News 2012 - 2017 ,http://u.osmfr.org/m/165023/
#FoiaeFiamme - Richiesta di accesso civico -,"La mappa permette a chiunque di compilare, in modo semplice e immediato, una richiesta di accesso civico con la quale chiedere ad un Comune il catasto delle terre bruciate","<img src=""legend/clip_index/comuniafuoco.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Accesso Civico;#Foiaefiamme;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/comuniafuoco.html,European Forest Fire Information System;EFFIS,,@aborruso;@cristigalas;@giuragu;@gbvitrano,2017-09-10,settembre - 2017,2017,Comuni a fuoco. Una mappa per la campagna #FoiaeFiamme,https://italiaafuoco.info/2017-09-05-comuni-a-fuoco-foia-e-fiamme/
Italia incendi boschivi dal 2009 a maggio 2016,"Nel periodo 2009 - 2016 in Italia un ettaro di superficie su tre è andato in fumo in Sicilia, un ettaro su cinque in Sardegna. In totale due terzi degli incendi italiani ha interessato le isole maggiori e la Calabria. Sempre nelle isole maggiori gli incendi più devastanti....","<img src=""legend/clip_index/numero_incendi_italia.jpg"" class=""clip_tooltips""  />",,Incendi;Dati alle fiamme;Italia a Fuoco,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/numero_incendi_italia.html,"Ex Corpo Forestale, oggi Carabinieri",,@aborruso;@giuragu;@gbvitrano,2017-09-02,settembre - 2017,2017,Italia incendi boschivi dal 2009 a maggio 2016,https://goo.gl/BExQxh
Sicilia - censimento aree incendi dal 2010 a maggio 2016 - Dati parziali,Il caso Sicilia - Censimento aree incendi dal 2010 a maggio 2016 - Dati parziali,"<img src=""legend/clip_index/incendi_sicilia_aree.jpg"" class=""clip_tooltips""  />",,Incendi;Sicilia;Censimento;Dati alle fiamme;Pericolo,Emergenze;Ambiente;Incendi,Sicilia,http://siciliahub.github.io/palermohub/incendi_sicilia_aree.html,SIF - Sistema Informativo Forestale Regione Siciliana;Regione Sicilia,,@aborruso;@giuragu;@gbvitrano,2017-09-02,settembre - 2017,2017,Censimento aree incendi dal 2010 a maggio 2016 - Dati parziali,https://goo.gl/yF1BMY
Location di Film girati in Sicilia,"Location di Film girati in Sicilia, da un lavoro di VisitSicily.info, catalogo di Film in progress","<img src=""legend/clip_index/location_film.jpg"" class=""clip_tooltips""  />",,Film,Cultura,Sicilia,http://siciliahub.github.io/palermohub/location_film.html,Visit Sicily Regione Sicilia,,@cirospat;Renato Alongi,2017-08-24,agosto - 2017,2017,"Location di Film girati in Sicilia, da un lavoro di VisitSicily.info, catalogo di Film in progress",http://umap.openstreetmap.fr/it/map/Film-in-sicilia_176007
Aree di Emergenza - Protezione Civile - Regione Sicilia,"Censimento delle aree di emergenza ai fini della pianificazione di Protezione Civile (Aree di attesa della popolazione, Aree di accoglienza o di ricovero della popolazione e Aree di ammassamento soccorritori e Risorse) dei Comuni delle Provincia di Catania, Enna, Messina, Ragusa e del Comune di Palermo.","<img src=""legend/clip_index/piano_pc.jpg"" class=""clip_tooltips""  />",,Protezione Civile,Emergenze; Protezione Civile,Catania;Enna; Messina;Ragusa;Palermo,http://siciliahub.github.io/palermohub/piano_prot_civ.html#12/38.1335/13.3193,Regione Sicilia;Comune di Palermo,,@gbvitrano,2017-08-01,agosto - 2017,2017,,
Sicila a fuoco - 2017 - EMSR213: Forest Fire in Southern Italy ,"Gli incendi in Sicilia, una situazione drammatica vista da COPERNICUS - Emergency Management Service - EMSR213: Forest Fire in Southern Italy 
","<img src=""legend/clip_index/index_incendi_sicilia.jpg"" class=""clip_tooltips""  />",,Incendi;Sicilia;Censimento;Dati alle fiamme;Modelli 3D;Modellazione 3D;Pericolo,Emergenze;Ambiente;Incendi,Sicilia,http://siciliahub.github.io/palermohub/index_incendi_sicilia.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2017-07-03,luglio - 2017,2017,Mappa incendi Sicilia con i dati EFFIS -  COPERNICUS - Emergency Management Service,https://goo.gl/Nmw6p8
Pericolosità sismica - Sicilia,Pericolosità sismica di riferimento per il Territorio nazionale ,"<img src=""legend/clip_index/peric_sismica.jpg"" class=""clip_tooltips""  />",,Ambiente;Sisma;Prevenzione,Ambiente,Italia,http://siciliahub.github.io/palermohub/peric_sismica.html#9/37.5313/14.0353,ISTAT; INGV,,@gbvitrano,2017-07-01,luglio - 2017,2017,,
Contenitori di oli esausti vegetali a Palermo,Dislocazione dei contenitori di oli esausti vegetali a Palermo,"<img src=""legend/clip_index/contenitori_olio.jpg"" class=""clip_tooltips""  />",,Olii;Riciclo;Rifiuti,Ambiente;Rifiuti;Riciclo,Palermo,http://siciliahub.github.io/palermohub/contenitori_olio.html,Comune di Palermo,,@cirospat,2017-06-14,giugno - 2017,2017,Dislocazione dei contenitori di oli esausti vegetali a Palermo,http://umap.openstreetmap.fr/it/map/dislocazione-dei-contenitori-di-oli-esausti-vegeta_185725
Qgis Feature 2.5D Renderer Modello digitale del terreno di Palermo,Test Qgis Feature 2.5D Renderer Modello digitale sugli edifici del centro storico di Palermo,"<img src=""legend/clip_index/renderer_2_5D.jpg"" class=""clip_tooltips""  />",,Palermo;Modella 3D; Modellazione 3D; Territorio;Curve di livello;DEM;Modello digitale del terreno;DTM;Qgis;Render2.5D,Modellazione 3D,Palermo,http://siciliahub.github.io/palermohub/renderer_2_5D.html,Comune di Palermo;Regione Sicilia,,@gbvitrano,2017-05-22,maggio - 2017,2017,Modello digitale del terreno di Palermo e unità volumetriche,https://goo.gl/D86EBw
Modello digitale del terreno di Palermo,Modello digitale del terreno #DTM – del territorio di Palermo,"<img src=""legend/clip_index/dem_palermo.jpg"" class=""clip_tooltips""  />",,Palermo;Modella 3D; Modellazione 3D; Territorio;Curve di livello;DEM;Modello digitale del terreno;DTM,Modellazione 3D,Palermo,http://siciliahub.github.io/palermohub/dem_palermo.html,Regione Sicilia,,@gbvitrano,2017-05-21,maggio - 2017,2017,Modello digitale del terreno di Palermo,https://gbvitrano.it/qgis/dem_palermo/
Atlante delle Carte Tecniche storiche,"Osservare il cambiamento di una città grazie alla cartografia... Rispetto alla mappa pubblicata ad Aprile 2017, è stata aggiunta una nuova carta tecnica ed è stato migliorato il passaggio da una carta all'altra, mantenendo posizione e zoom","<img src=""legend/clip_index/atlante.jpg"" class=""clip_tooltips"" />",,Atlante;Cartografie Storiche;Palermo,Cartografia,Palermo,http://siciliahub.github.io/palermohub/index_atlante.html,Comune di Palermo,PalermoHub,@aborruso;@piersoft;@cirospat;@gbvitrano,2017-05-17,maggio - 2017,2017,,
Protezione Civile - Campagna AntIncendio Boschivo 2017 ,"Nella mappa è riportata la localizzazione delle basi operative con Elicotteri e mezzi aerei disponibili per la Campagna AntIncendio Boschivo 2017 della Protezione Civile e le basi aeree messe a disposizione dalle Regioni.
I mezzi della flotta aerea dello Stato sono coordinati dal Coau - Centro Operativo Aereo Unificato del Dipartimento della Protezione Civile.","<img src=""legend/clip_index/campagna_antinc.jpg"" class=""clip_tooltips""  />",,Mezzi di soccorso;Incendi;Elicotteri;Vigili del Fuoco;Emergenze,Emergenze,Italia,http://siciliahub.github.io/palermohub/campagna_antinc.html,Protezione Civile.,,@gbvitrano,2017-05-10,maggio - 2017,2017,Protezione Civile - Campagna AntIncendio Boschivo 2017 ,http://u.osmfr.org/m/159107/
Palermo – Elezioni Amministrative 2017 – Affluenza per seggio elettorale,"Nella mappa sono localizzati i seggi elettorali per le elezioni amministrative 2017, con l’indicazione del nome della scuola, l’indirizzo e la possibilità di accesso per i portatori di disabilità motorie. Inoltre sono riportati il numero degli elettori e l’affluenza nei vari seggi.","<img src=""legend/clip_index/amministrative_2017_affluenza.jpg"" class=""clip_tooltips""  />",,Elezioni Amministrative;Elezioni Politiche;Elezioni Regionli;Referendum,Elezioni Amministrative,Palermo,http://siciliahub.github.io/palermohub/amministrative_2017_affluenza.html,Comune di Palermo,,@aborruso;@cirospat;@gbvitrano,2017-05-09,maggio - 2017,2017,Palermo – Elezioni Amministrative 2017 – Affluenza per seggio elettorale,http://u.osmfr.org/m/152125/
Palermo – Elezioni Amministrative 2017 – Voti ai candidati sindaco aggregati per scuola,"Nella mappa sono localizzati i seggi elettorali per le elezioni amministrative 2017, con l’indicazione del nome della scuola, l’indirizzo e la possibilità di accesso per i portatori di disabilità motorie. Inoltre sono riportati i voti ai candidati sindaco per sezione.","<img src=""legend/clip_index/amministrative_2017_voti_sindaco.jpg"" class=""clip_tooltips""  />",,Elezioni Amministrative;Elezioni Politiche;Elezioni Regionli;Referendum,Elezioni Amministrative,Palermo,http://siciliahub.github.io/palermohub/amministrative_2017_voti_sindaco.html,Comune di Palermo,,@aborruso;@cirospat;@gbvitrano,2017-05-08,maggio - 2017,2017,Palermo – Elezioni Amministrative 2017 – Voti ai candidati sindaco aggregati per scuola,http://u.osmfr.org/m/152415/
Palermo – Controlli amianto 2016-2017 – Polizia Municipale,"Nella mappa è riportato il dataset  degli interventi effettuati relativi alla presenza di amianto nel territorio comunale di Palermo, dalla Polizia Municipale nel 2016 e 2017","<img src=""legend/clip_index/controlli_amianto_16_17.jpg"" class=""clip_tooltips""  />",,Ambiente;Controlli;Aminato;Rifiuti;Controllo Territorio,Ambiente,Palermo,http://siciliahub.github.io/palermohub/controlli_amianto_16_17.html,Comune di Palermo,,@gbvitrano,2017-05-06,maggio - 2017,2017,Palermo - Controlli amianto 2016-2017 ,http://u.osmfr.org/m/153078/
Italia - Mappa news Incendi registrati nel 2017,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2017.,"<img src=""legend/clip_index/news_incendi_2017.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/news_incendi_2017.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2017-05-05,maggio - 2017,2017,Italia – Mappa news Incendi registrati nel 2017,http://u.osmfr.org/m/158685/
Mappa del ferro - Palermo [Maggio 2017],"Nella mappa sono riportate le infrastrutture su rotaia del trasporto pubblico di massa  in esercizio, in corso di realizzazione e in fase di progettazione a Palermo","<img src=""legend/clip_index/mappa_ferro.jpg"" class=""clip_tooltips""  />",,Tram;Amat;Parcheggi;Pubblici;Interscambio;Metrò;Bike;Sharing;GTFS;Orari Bus;Orari Tram;GTFS,Mobilità,Palermo,http://siciliahub.github.io/palermohub/mappa_ferro.html,Comune di Palermo,,@cirospat;@gbvitrano,2017-05-03,maggio - 2017,2017,Mappa del ferro - Palermo [Maggio 2017],http://u.osmfr.org/m/143534/
Strumenti urbanistici di attuazione,Variente Generle l P.R.G. - Zonizzazione e vincoli sul Territorio adeguati ai D. Dir 558 e 124/DRU/02 di approvazione - Luglio 2003 - Presa D'atto Delibera 7/2004 e Piano Particolareggiato Esecutivo del centro storico,"<img src=""legend/clip_index/prg.jpg"" class=""clip_tooltips""  />",,Variante Generale;PRG;PPE;Centro Storico;Palermo;Controllo del territorio;Governo del territorio;Zonizzazione;Pianp Particolareggiato,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/index_prg.html#14/38.1185/13.3595,Comune di Palermo,,@aborruso;@gbvitrano,2017-05-01,maggio - 2017,2017,Piano Regolatore di Palermo,http://blog.spaziogis.it/static/palermo_prg/#14/38.1114/13.3571
Cambia-menti 2025,Cambia-menti…#Palermo…Variante Generale PRG 2004 vs Schema di massima del PRG 2025,"<img src=""legend/clip_index/cambia-menti.jpg"" class=""clip_tooltips""  />",,Variante Generale;PRG;PPE;Centro Storico;Palermo;Controllo del territorio;Governo del territorio;Zonizzazione;Pianp Particolareggiato,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/cambia-menti.html,Comune di Palermo,,@cirospat;@gbvitrano,2017-04-22,aprile - 2017,2017,Cambia-menti,https://goo.gl/oUXq1D
Studio Vulnerabilità sismica degli edifici residenziali di Palermo - Mappa 3D,E’ una mappatura di base della vulnerabilità sismica degli edifici residenziali di due aree campione della città. La vulnerabilità sismica rappresenta una misura della maggiore o minore capacità degli edifici di resistere ad azioni sismiche (terremoti di prefissata entità) ,"<img src=""legend/clip_index/vulnerabilità_sismica_3D.jpg"" class=""clip_tooltips""  />",,Territorio;Sisma;Vulnerabilità;Edifici,Modellazione 3D,Palermo,http://siciliahub.github.io/palermohub/vulnerabilità_sismica_3D.html,Comune di Palermo;ISTAT;Regione Sicilia,,@aborruso;@carbone_letizia;@cirospat;@gbvitrano,2017-04-20,aprile - 2017,2017,Studio Vulnerabilità sismica degli edifici residenziali di Palermo - Mappa 3D,https://goo.gl/Y5Q7Yu
